"task_id","pair_id","input_shape","output_shape","input_colors","output_colors","recoloration","rotation_90","rotation_180","rotation_270","flip_horizontal","flip_vertical","transpose","repetition","padding","translation","tiled_subgrid","partial_symetry","pattern_checkerboard","pattern_horizontal_stripes","pattern_vertical_stripes","pattern_uniform_blocks","shape_based_recoloration"
"0a2355a6",0,"[14, 14]","[14, 14]","[0, 8]","[0, 1, 2, 3]",True,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,True
"0a2355a6",1,"[14, 11]","[14, 11]","[0, 8]","[0, 1, 2, 3]",True,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,True
"0a2355a6",2,"[15, 14]","[15, 14]","[0, 8]","[0, 1, 2, 3, 4]",True,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,True
"0a2355a6",3,"[9, 11]","[9, 11]","[0, 8]","[0, 1, 3]",True,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,True
"0a938d79",0,"[22, 9]","[22, 9]","[0, 2, 3]","[0, 2, 3]",False,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,False
"0a938d79",1,"[7, 23]","[7, 23]","[0, 1, 3]","[0, 1, 3]",False,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,False
"0a938d79",2,"[24, 8]","[24, 8]","[0, 1, 4]","[0, 1, 4]",False,False,False,False,False,False,False,False,False,False,False,"",False,False,True,False,False
"0a938d79",3,"[10, 25]","[10, 25]","[0, 2, 8]","[0, 2, 8]",False,False,False,False,False,False,False,False,False,False,False,"",False,True,False,False,False
"0b148d64",0,"[18, 19]","[7, 9]","[0, 2, 3]","[0, 3]",True,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,False
"0b148d64",1,"[21, 21]","[10, 10]","[0, 2, 8]","[0, 2]",True,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,False
"0b148d64",2,"[19, 17]","[9, 6]","[0, 1, 4]","[0, 4]",True,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,False
"0b17323b",0,"[15, 15]","[15, 15]","[0, 1]","[0, 1, 2]",True,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,True
"0b17323b",1,"[15, 15]","[15, 15]","[0, 1]","[0, 1, 2]",True,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,True
"0bb8deee",0,"[15, 13]","[6, 6]","[0, 1, 2, 3, 5, 8]","[0, 2, 3, 5, 8]",True,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,False
"0bb8deee",1,"[12, 13]","[6, 6]","[0, 1, 2, 3, 4, 5]","[0, 1, 3, 4, 5]",True,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,False
"0bb8deee",2,"[16, 12]","[6, 6]","[0, 1, 2, 3, 4, 5]","[0, 1, 2, 4, 5]",True,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,False
"0becf7df",0,"[10, 10]","[10, 10]","[0, 1, 2, 3, 8]","[0, 1, 2, 3, 8]",False,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,True
"0becf7df",1,"[10, 10]","[10, 10]","[0, 2, 3, 4, 7]","[0, 2, 3, 4, 7]",False,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,True
"0becf7df",2,"[10, 10]","[10, 10]","[0, 4, 6, 7, 9]","[0, 4, 6, 7, 9]",False,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,True
"0c786b71",0,"[3, 4]","[6, 8]","[5, 7, 9]","[5, 7, 9]",False,False,False,False,False,False,False,False,True,True,False,"",False,False,False,False,False
"0c786b71",1,"[3, 4]","[6, 8]","[2, 4, 6]","[2, 4, 6]",False,False,False,False,False,False,False,False,True,True,False,"",False,False,False,False,False
"0c786b71",2,"[3, 4]","[6, 8]","[3, 5, 8]","[3, 5, 8]",False,False,False,False,False,False,False,False,True,True,False,"",False,False,False,False,False
"0c9aba6e",0,"[13, 4]","[6, 4]","[0, 2, 6, 7]","[0, 8]",True,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,False
"0c9aba6e",1,"[13, 4]","[6, 4]","[0, 2, 6, 7]","[0, 8]",True,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,False
"0c9aba6e",2,"[13, 4]","[6, 4]","[0, 2, 6, 7]","[0, 8]",True,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,False
"0c9aba6e",3,"[13, 4]","[6, 4]","[0, 2, 6, 7]","[0, 8]",True,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,False
"0ca9ddb6",0,"[9, 9]","[9, 9]","[0, 1, 2, 8]","[0, 1, 2, 4, 7, 8]",True,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,True
"0ca9ddb6",1,"[9, 9]","[9, 9]","[0, 1, 2]","[0, 1, 2, 4, 7]",True,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,True
"0ca9ddb6",2,"[9, 9]","[9, 9]","[0, 1, 2, 6]","[0, 1, 2, 4, 6, 7]",True,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,True
"0d3d703e",0,"[3, 3]","[3, 3]","[5, 6, 8]","[1, 2, 9]",True,False,False,False,False,False,False,False,False,False,False,"",False,True,False,False,True
"0d3d703e",1,"[3, 3]","[3, 3]","[2, 3, 8]","[4, 6, 9]",True,False,False,False,False,False,False,False,False,False,False,"",False,True,False,False,True
"0d3d703e",2,"[3, 3]","[3, 3]","[2, 4, 9]","[3, 6, 8]",True,False,False,False,False,False,False,False,False,False,False,"",False,True,False,False,True
"0d3d703e",3,"[3, 3]","[3, 3]","[1, 2, 3]","[4, 5, 6]",True,False,False,False,False,False,False,False,False,False,False,"",False,True,False,False,True
"0d87d2a6",0,"[10, 20]","[10, 20]","[0, 1, 2]","[0, 1, 2]",False,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,True
"0d87d2a6",1,"[20, 20]","[20, 20]","[0, 1, 2]","[0, 1, 2]",False,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,True
"0d87d2a6",2,"[13, 14]","[13, 14]","[0, 1, 2]","[0, 1, 2]",False,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,True
"0e206a2e",0,"[14, 15]","[14, 15]","[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]",False,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,True
"0e206a2e",1,"[14, 18]","[14, 18]","[0, 1, 3, 4, 8]","[0, 1, 3, 4, 8]",False,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,True
"0e206a2e",2,"[16, 14]","[16, 14]","[0, 1, 2, 4, 8]","[0, 1, 2, 4, 8]",False,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,True
"0e671a1a",0,"[13, 13]","[13, 13]","[0, 2, 3, 4]","[0, 2, 3, 4, 5]",True,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,True
"0e671a1a",1,"[13, 13]","[13, 13]","[0, 2, 3, 4]","[0, 2, 3, 4, 5]",True,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,True
"0e671a1a",2,"[13, 13]","[13, 13]","[0, 2, 3, 4]","[0, 2, 3, 4, 5]",True,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,True
"0e671a1a",3,"[13, 13]","[13, 13]","[0, 2, 3, 4]","[0, 2, 3, 4, 5]",True,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,True
"0f63c0b9",0,"[15, 15]","[15, 15]","[0, 2, 7, 8]","[0, 2, 7, 8]",False,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,False
"0f63c0b9",1,"[15, 15]","[15, 15]","[0, 1, 2, 3, 8]","[0, 1, 2, 3, 8]",False,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,False
"0f63c0b9",2,"[15, 15]","[15, 15]","[0, 2, 3, 9]","[0, 2, 3, 9]",False,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,False
"0f63c0b9",3,"[15, 15]","[15, 15]","[0, 2, 6, 8]","[0, 2, 6, 8]",False,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,False
"103eff5b",0,"[22, 12]","[22, 12]","[0, 1, 2, 3, 4, 8]","[0, 1, 2, 3, 4]",True,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,True
"103eff5b",1,"[24, 13]","[24, 13]","[0, 1, 2, 3, 4, 8]","[0, 1, 2, 3, 4]",True,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,True
"10fcaaa3",0,"[5, 3]","[10, 6]","[0, 4]","[0, 4, 8]",True,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,False
"10fcaaa3",1,"[3, 4]","[6, 8]","[0, 6]","[0, 6, 8]",True,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,False
"10fcaaa3",2,"[4, 4]","[8, 8]","[0, 2]","[0, 2, 8]",True,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,False
"10fcaaa3",3,"[2, 4]","[4, 8]","[0, 5]","[0, 5, 8]",True,False,False,False,False,False,False,False,False,False,False,"",False,True,False,False,False
"11852cab",0,"[10, 10]","[10, 10]","[0, 2, 3, 4]","[0, 2, 3, 4]",False,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,True
"11852cab",1,"[10, 10]","[10, 10]","[0, 2, 3, 8]","[0, 2, 3, 8]",False,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,True
"11852cab",2,"[10, 10]","[10, 10]","[0, 1, 4, 8]","[0, 1, 4, 8]",False,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,True
"1190bc91",0,"[10, 10]","[10, 10]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",False,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,True
"1190bc91",1,"[10, 10]","[10, 10]","[0, 1, 2, 3, 4, 6, 7, 8, 9]","[0, 1, 2, 3, 4, 6, 7, 8, 9]",False,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,True
"1190bc91",2,"[4, 4]","[4, 4]","[0, 2, 3, 4, 8]","[0, 2, 3, 4, 8]",False,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,True
"1190e5a7",0,"[11, 11]","[3, 2]","[1, 8]","[1]",True,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,False
"1190e5a7",1,"[15, 15]","[2, 4]","[3, 7]","[3]",True,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,False
"1190e5a7",2,"[27, 27]","[6, 5]","[1, 3]","[3]",True,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,False
"11dc524f",0,"[13, 13]","[13, 13]","[2, 5, 7]","[2, 5, 7]",False,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,True
"11dc524f",1,"[13, 13]","[13, 13]","[2, 5, 7]","[2, 5, 7]",False,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,True
"11dc524f",2,"[13, 13]","[13, 13]","[2, 5, 7]","[2, 5, 7]",False,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,True
"11e1fe23",0,"[12, 11]","[12, 11]","[0, 2, 6, 8]","[0, 2, 5, 6, 8]",True,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,True
"11e1fe23",1,"[10, 12]","[10, 12]","[0, 1, 2, 3]","[0, 1, 2, 3, 5]",True,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,True
"12422b43",0,"[13, 6]","[13, 6]","[0, 2, 3, 5, 8]","[0, 2, 3, 5, 8]",False,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,True
"12422b43",1,"[8, 7]","[8, 7]","[0, 1, 3, 4, 5, 7, 8]","[0, 1, 3, 4, 5, 7, 8]",False,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,True
"12422b43",2,"[9, 7]","[9, 7]","[0, 2, 3, 4, 5, 8]","[0, 2, 3, 4, 5, 8]",False,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,True
"12422b43",3,"[7, 6]","[7, 6]","[0, 3, 5, 6, 8]","[0, 3, 5, 6, 8]",False,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,True
"12422b43",4,"[5, 5]","[5, 5]","[0, 4, 5, 6]","[0, 4, 5, 6]",False,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,True
"12997ef3",0,"[11, 11]","[6, 3]","[0, 1, 2, 6]","[0, 2, 6]",True,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,False
"12997ef3",1,"[11, 9]","[9, 3]","[0, 1, 3, 6, 8]","[0, 3, 6, 8]",True,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,False
"12997ef3",2,"[11, 10]","[3, 6]","[0, 1, 2, 3]","[0, 2, 3]",True,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,False
"12997ef3",3,"[11, 14]","[3, 9]","[0, 1, 2, 3, 4]","[0, 2, 3, 4]",True,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,False
"12eac192",0,"[5, 8]","[5, 8]","[0, 1, 5, 7, 8]","[0, 1, 3, 7]",True,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,True
"12eac192",1,"[9, 8]","[9, 8]","[0, 1, 5, 7, 8]","[0, 1, 3, 7, 8]",True,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,True
"12eac192",2,"[3, 3]","[3, 3]","[0, 1, 5, 7]","[0, 3, 7]",True,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,True
"12eac192",3,"[7, 8]","[7, 8]","[0, 1, 5, 7, 8]","[0, 3, 5, 7, 8]",True,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,True
"13713586",0,"[16, 17]","[16, 17]","[0, 2, 3, 5, 7]","[0, 2, 3, 5, 7]",False,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,True
"13713586",1,"[16, 15]","[16, 15]","[0, 3, 4, 5, 8]","[0, 3, 4, 5, 8]",False,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,True
"13713586",2,"[17, 17]","[17, 17]","[0, 2, 3, 5, 6]","[0, 2, 3, 5, 6]",False,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,True
"137eaa0f",0,"[11, 11]","[3, 3]","[0, 2, 3, 5, 6, 7]","[2, 3, 5, 6, 7]",True,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,False
"137eaa0f",1,"[11, 11]","[3, 3]","[0, 4, 5, 6, 7]","[0, 4, 5, 6, 7]",False,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,False
"137eaa0f",2,"[11, 11]","[3, 3]","[0, 1, 2, 5, 9]","[0, 1, 2, 5, 9]",False,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,False
"137f0df0",0,"[10, 10]","[10, 10]","[0, 5]","[0, 1, 2, 5]",True,False,False,False,False,False,False,False,False,False,False,"vertical_half",False,False,True,False,True
"137f0df0",1,"[10, 10]","[10, 10]","[0, 5]","[0, 1, 2, 5]",True,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,True
"137f0df0",2,"[10, 10]","[10, 10]","[0, 5]","[0, 1, 2, 5]",True,False,False,False,False,False,False,False,False,False,False,"horizontal_half",False,True,False,False,True
"13f06aa5",0,"[12, 14]","[12, 14]","[1, 2, 4, 8]","[0, 1, 2, 4, 8]",True,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,True
"13f06aa5",1,"[11, 13]","[11, 13]","[1, 2, 3, 8]","[0, 1, 2, 3, 8]",True,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,True
"13f06aa5",2,"[15, 12]","[15, 12]","[1, 3, 6]","[1, 3, 6]",False,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,True
"140c817e",0,"[9, 9]","[9, 9]","[1, 9]","[1, 2, 3, 9]",True,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,True
"140c817e",1,"[13, 13]","[13, 13]","[1, 8]","[1, 2, 3, 8]",True,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,True
"140c817e",2,"[11, 11]","[11, 11]","[1, 7]","[1, 2, 3, 7]",True,False,False,False,False,False,False,False,False,False,False,"",False,False,False,False,True
